0 ; 1
t1 ; 0
t2 ; 4
t3 ; 4
t4 ; 0
t5 ; 0
t6 ; 4
t7 ; 0
t8 ; 0
t9 ; 4
t10 ; 0
t11 ; 0
t12 ; 4
t13 ; 4
t14 ; 1
t15 ; 4
t16 ; 0
t17 ; 4
t18 ; 0
t19 ; 0
t20 ; 0
t21 ; 0
t22 ; 4
t23 ; 0
t24 ; 4
t25 ; 1
t26 ; 0
t27 ; 4
t28 ; 4
t29 ; 1
t30 ; 4
t31 ; 0
t32 ; 4
t33 ; 0
t34 ; 4
t35 ; 4
t36 ; 4
t37 ; 4
t38 ; 1
t39 ; 1
t40 ; 0
t41 ; 4
t42 ; 0
t43 ; 0
t44 ; 4
t45 ; 0
t46 ; 0
t47 ; 0
t48 ; 0
t49 ; 0
t50 ; 0
t51 ; 4
t52 ; 0
t53 ; 4
t54 ; 0
t55 ; 0
t56 ; 0
t57 ; 4
t58 ; 1
t59 ; 1
t60 ; 4
t61 ; 4
t62 ; 4
t63 ; 4
t64 ; 0
t65 ; 4
t66 ; 1
t67 ; 0
t68 ; 0
t69 ; 4
t70 ; 0
t71 ; 4
t72 ; 4
t73 ; 4
t74 ; 0
t75 ; 4
t76 ; 4
t77 ; 4
t78 ; 1
t79 ; 4
t80 ; 0
t81 ; 1
t82 ; 4
t83 ; 4
t84 ; 4
t85 ; 0
t86 ; 0
t87 ; 1
t88 ; 0
t89 ; 0
t90 ; 0
t91 ; 0
t92 ; 1
t93 ; 0
t94 ; 0
t95 ; 4
t96 ; 4
t97 ; 0
t98 ; 0
t99 ; 0
t
