INFERIEUR
Temp_prec;Temp_min; Temp_max;
-15.00;13.00;24.00
0;-6.64
1;-2.23
2;0.50
3;1.77
4;1.75
5;14.50
6;17.03
7;18.44
8;16.36
9;19.96
10;21.52
11;22.88
12;22.03
13;19.78
14;17.30
15;16.04
16;17.05
17;20.69
18;18.52
19;21.21
20;18.73
21;18.99
22;16.25
23;18.79
24;20.00
25;19.23
26;19.19
27;20.16
28;18.17
29;15.60
30;16.75
31;17.53
32;20.95
33;17.76
34;19.46
35;21.33
36;16.40
37;17.53
38;15.47
39;17.35
NORMAL
Temp_prec;Temp_min;Temp_max;
17.00;10.00;28.00
0;20.90
1;24.30
2;21.87
3;16.59
4;16.41
5;18.07
6;19.39
7;20.67
8;23.77
9;19.07
10;20.00
11;21.34
12;21.45
13;17.60
14;17.15
15;13.72
16;20.78
17;19.49
18;21.14
19;18.67
20;18.11
21;22.32
22;24.86
23;21.45
24;19.01
25;18.03
26;19.37
27;15.15
28;20.59
29;19.42
30;16.36
31;21.40
32;21.15
33;20.62
34;24.61
35;19.84
36;18.15
37;23.30
38;23.21
39;22.09
SUPERIEUR
Temp_prec;Temp_min; Temp_max;
45.00;5.00;14.00
0;28.43
1;17.00
2;13.36
3;11.75
4;9.10
5;7.40
6;9.90
7;10.47
8;11.45
9;11.25
10;11.34
11;8.56
12;8.04
13;8.65
14;7.16
15;9.64
16;7.72
17;8.03
18;7.35
19;7.67
20;9.47
21;6.90
22;8.08
23;7.47
24;8.20
25;8.98
26;6.59
27;7.04
28;10.46
29;8.97
30;8.48
31;11.63
32;12.62
33;10.15
34;9.01
35;10.11
36;8.02
37;10.96
38;9.22
39;8.63
